PlayerName,PlayerCode
A. J. Burnett,burna001
A. J. Ellis,ellia001
A. J. Griffin,grifa002
A. J. Murray,murra001
A. J. Pierzynski,piera001
A. J. Pollock,polla001
Aaron Bates,batea001
Aaron Boone,boona001
Aaron Cook,cooka002
Aaron Cunningham,cunna001
Aaron Fultz,fulta001
Aaron Guiel,guiea001
Aaron Harang,haraa001
Aaron Hill,hilla001
Aaron Laffey,laffa001
Aaron Miles,milea001
Aaron Rowand,rowaa001
Aaron Sele,selea001
Aaron Small,smala001
Aaron Thompson,thoma003
Abraham Nunez,nunea001
Adalberto Mendez,menda001
Adam Bernero,berna001
Adam Dunn,dunna001
Adam Eaton,eatoa001
Adam Eaton,eatoa002
Adam Everett,evera001
Adam Hyzdu,hyzda001
Adam Jones,jonea003
Adam Kennedy,kenna001
Adam LaRoche,laroa001
Adam Lind,linda001
Adam Loewen,loewa001
Adam Melhuse,melha001
Adam Moore,moora001
Adam Ottavino,ottaa001
Adam Pettyjohn,petta002
Adam Rosales,rosaa001
Adam Stern,stera001
Adam Wainwright,waina001
Adam Warren,warra001
Adam Wilk,wilka001
Adeiny Hechavarria,hecha001
Adrian Beltre,belta001
Adrian Brown,browa001
Adrian Cardenas,carda001
Adrian Gonzalez,gonza003
Adron Chambers,chama002
Akinori Iwamura,iwama001
Alan Johnson,johna002
Alay Soler,solea001
Albert Pujols,pujoa001
Alberto Arias,ariaa002
Alberto Callaspo,calla001
Alberto Castillo,casta001
Alberto Gonzalez,gonza005
Alcides Escobar,escoa003
Alejandro De Aza,deaza001
Alejandro de Aza,deaza001
Alejandro Sanabia,sanaa001
Alex Avila,avila001
Alex Castellanos,casta003
Alex Cintron,cinta001
Alex Cobb,cobba001
Alex Cora,coraa001
Alex Escobar,escoa002
Alex Gonzalez,gonza001
Alex Gonzalez,gonza002
Alex Gordon,gorda001
Alex Liddi,lidda001
Alex Presley,presa001
Alex Rios,riosa002
Alex Rodriguez,rodra001
Alex Romero,romea001
Alex White,whita001
Alexei Ramirez,ramia003
Alexi Amarista,amara001
Alexi Casilla,casia001
Alexi Ogando,ogana001
Alexis Gomez,gomea001
Alfonso Soriano,soria001
Alfredo Aceves,aceva001
Alfredo Amezaga,ameza001
Alfredo Figaro,figaa001
Alfredo Simon,simoa001
Allen Craig,craia001
Alvin Colina,colia001
Ambiorix Burgos,burga001
Anderson Hernandez,herna003
Andre Ethier,ethia001
Andrelton Simmons,simma001
Andres Blanco,blana001
Andres Torres,torra001
Andrew Brown,browa003
Andrew Carpenter,carpa001
Andrew Cashner,casha001
Andrew McCutchen,mccua001
Andrew Miller,milla002
Andrew Oliver,oliva002
Andrew Romine,romia001
Andrew Werner,werna001
Andruw Jones,jonea002
Andy Cannizaro,canna001
Andy Dirks,dirka001
Andy Gonzalez,gonza004
Andy Green,greea001
Andy LaRoche,laroa002
Andy Marte,marta004
Andy Parrino,parra001
Andy Pettitte,petta001
Andy Phillips,phila001
Andy Sonnanstine,sonna001
Andy Tracy,traca001
Aneury Rodriguez,rodra002
Angel Berroa,berra001
Angel Guzman,guzma001
Angel Pagan,pagaa001
